patient_id,national_id,first_name,last_name,date_of_birth,gender,phone,address,blood_type,allergies,chronic_diseases,emergency_contact_name,emergency_contact_phone,registration_date,is_active
50,26107123817983,Hagar,Abdullah,1961-07-12,Female,0154782932,"237 El Gomhouria Ave., Zifta, North Sinai",O+,Antibiotic allergy,Diabetes mellitus,Hanan Salama,0111142076,2024-05-24 20:56:20,0
51,28307221714346,Rana,Morsi,1983-07-22,Female,0113961448,"4329 El Tahrir Ave., Manshat El Qanater, Damietta",B-,,,Sameh Abdelaziz,0103301684,2024-12-10 11:16:18,1
52,25010150418535,Selim,Wahba,1950-10-15,Male,0112758168,"1702 El Mahatta Rd., Tanta, Gharbia",A+,Dust allergy,Heart disease,Yasser Bakr,0154527741,2025-05-21 06:11:17,0
53,27908240762031,Shenouda,Abo El-Naga,1979-08-24,Male,0157551354,"9811 El Shohada Rd., Arbaeen District, Suez",O-,Aspirin allergy,Epilepsy,Sidra Mohsen,0100557762,2024-04-13 18:29:42,1
54,26204237716382,Samar,Gad,1962-04-23,Female,0112537283,"656 El Nasr Ave., Hehia, Sharqia",B+,,Epilepsy,Youssef Abo El-Naga,0112495686,2025-05-14 00:53:53,0
55,29005071609642,Shahd,El-Sherbiny,1990-05-07,Female,0100373932,"579 El Zohour Rd., New October, Faiyum",B-,,Thyroid disorders,Marwan Kamel,0125075703,2023-12-14 23:09:41,1
56,26308148020920,Iman,El-Qurashi,1963-08-14,Female,0102427223,"224 El Wahda St., Qantara Sharq, Ismailia",B+,Latex allergy,Asthma,Salem Ramadan,0126870696,2024-06-15 21:18:14,0
57,29902151927142,Judy,El-Qahery,1999-02-15,Female,0155213741,"2647 El Nasr Sq., Al Zohour District, North Sinai",A-,,Arthritis,Abeer Farag,0108790032,2024-11-21 20:24:05,0
58,29804023327388,Saga,Salama,1998-04-02,Female,0106318709,"523 Airport Sq., Port Fuad, Port Said",O-,Latex allergy,Thyroid disorders,Yasser Abdullah,0113011888,2024-12-04 06:14:23,1
59,28207151983593,Hamza,Wahba,1982-07-15,Male,0157435638,"330 El Horreya Sq., Quweisna, Monufia",AB-,Pollen allergy,Viral hepatitis,Donia Shehata,0108344742,2025-01-18 18:21:38,0
60,30109147723529,Soha,Salem,2001-09-14,Female,0126523215,"351 Salah Salem Sq., Marsa Alam, Beni Suef",A+,,Arthritis,Hanan Sarhan,0109700599,2023-12-29 18:29:42,0
61,29001233518672,Wael,El-Sherif,1990-01-23,Male,0119651234,"637 El Geish Rd., Al Qarin, Sharqia",AB+,Pollen allergy,Viral hepatitis,Sarah Saber,0159439547,2025-02-22 10:38:51,1
62,29309081023764,Aline,El-Sherif,1993-09-08,Female,0104758952,"7812 El Mostaqbal Sq., Menouf, Monufia",O-,Antibiotic allergy,,Rahma El-Saeedi,0102605673,2024-05-07 16:44:42,0
63,26804245523418,Fathy,Ghoneim,1968-04-24,Male,0150332924,"62986 Salah Salem Sq., Mounib, Giza",B+,Seafood allergy,Heart disease,Zaid El-Iskandarany,0106301993,2025-11-02 09:47:45,1
64,29106042533263,Rasha,Helmy,1991-06-04,Female,0112307553,"668 El Haram Ave., Dahab, South Sinai",B-,,,Rehab Zaker,0151846296,2024-04-10 22:40:23,1
65,26803245132833,George,Ghamrawy,1968-03-24,Male,0113589902,"5710 Misr Sq., Bakos, Alexandria",A-,,Arthritis,Seif Zayed,0107090612,2025-06-05 04:47:17,1
66,25206135197851,Adel,Fahmy,1952-06-13,Male,0112534333,"0018 El Shohada Lane, Madinaty, Luxor",B-,Latex allergy,Epilepsy,Hana Morsi,0123758227,2025-06-25 10:52:53,1
67,27807168726065,Farida,Salama,1978-07-16,Female,0129931617,"51279 El Wahda Ave., Manshat El Qanater, Damietta",A-,,Hypertension,Yassin Gad,0108382333,2024-04-02 15:38:19,1
68,25110018321625,Donia,Afifi,1951-10-01,Female,0104941330,"455 Misr Rd., Gamasa, Dakahlia",B+,Peanut allergy,Heart disease,Heba Morsi,0151384014,2024-01-27 11:15:29,1
69,29807010975699,Aws,El-Masry,1998-07-01,Male,0118863557,"386 Misr St., Khanka, Aswan",O-,Dust allergy,Asthma,Bilal Mohsen,0157010117,2024-09-25 17:15:41,0
70,25905124997529,Rawan,Ghoneim,1959-05-12,Female,0158808352,"92994 Misr Sq., Faisal District, Damietta",A+,Aspirin allergy,,Judy Saad,0154170148,2024-01-26 04:49:36,0
71,26310108095616,Haitham,El-Qahery,1963-10-10,Male,0106751272,"899 El Mahatta Rd., Minya El Qamh, Damietta",AB-,,Heart disease,Iman Abdelaziz,0114885794,2024-04-06 15:58:11,1
72,25906186522275,Mahmoud,El-Iskandarany,1959-06-18,Male,0113751173,"6364 El Wahda Lane, El Gouna, Red Sea",B-,Penicillin allergy,Thyroid disorders,Fathy El-Iskandarany,0125884898,2025-06-18 16:49:17,0
73,24704137554638,Aws,Wahba,1947-04-13,Male,0118172276,"71423 Misr Rd., Minya El Qamh, Sharqia",A-,Peanut allergy,,Radwa Abdullah,0111199452,2024-07-29 13:29:28,0
74,29209051524484,Naglaa,Farag,1992-09-05,Female,0106413908,"5604 El Tahrir St., Damanhour, North Sinai",O+,Seafood allergy,Asthma,Sondos Bakr,0113478371,2024-05-08 06:33:51,1
75,26010130885601,Maryam,El-Iskandarany,1960-10-13,Female,0152842524,"65367 El Galaa Ave., Kafr El Dawar, Beheira",A+,Antibiotic allergy,,Ayman Mokhtar,0112048903,2024-11-01 11:08:33,0
76,27508137565654,Selim,Zaker,1975-08-13,Male,0102444037,"00542 El Gomhouria Sq., Sohag City, Beni Suef",A-,Peanut allergy,Thyroid disorders,Shaimaa El-Ansari,0116913720,2025-08-19 15:16:51,1
77,28307126994599,Marwan,Fahmy,1983-07-12,Male,0122122888,"001 Ramses Sq., Zifta, Asyut",O-,,,Mona Abdelaziz,0113778852,2025-05-19 03:12:21,1
78,27408266189627,Aya,El-Alawy,1974-08-26,Female,0157109436,"589 El Shohada Sq., Abu Kabir, Sharqia",AB+,,Viral hepatitis,Hamza Abo El-Naga,0100822342,2024-12-19 05:13:02,1
79,24703305514271,Khaled,Nassar,1947-03-30,Male,0126259787,"421 El Gomhouria St., Arbaeen District, Suez",AB+,Dust allergy,Hypertension,Saga Salem,0153975135,2025-05-01 16:16:15,1
80,29502057376718,Karim,Zaker,1995-02-05,Male,0150347609,"7336 El Haram Sq., Quweisna, Monufia",B-,Peanut allergy,Arthritis,Fathy El-Iskandarany,0111989651,2025-04-18 00:25:10,0
81,25811258830735,Tamer,Zaker,1958-11-25,Male,0113038832,"6429 El Zohour Sq., Miami, Kafr El Sheikh",B-,Pollen allergy,,Talia El-Araby,0101048461,2023-12-08 06:16:28,1
82,26802282944872,Abdelaziz,Sobhy,1968-02-28,Male,0126695947,"6221 El Haram Rd., Abu Kabir, Kafr El Sheikh",O-,Seafood allergy,,Ashraf Hussein,0116153006,2024-04-10 03:02:13,1
83,28704045984930,Tarek,Zayed,1987-04-04,Male,0111345949,"48287 El Horreya Ave., Al Sharq District, Port Said",A+,,Diabetes mellitus,Fathy Nassar,0128044460,2025-04-17 20:58:10,0
84,25004261302584,Alaa,Afifi,1950-04-26,Female,0118051418,"08897 Salah Salem Sq., Al Qarin, Luxor",A+,Antibiotic allergy,Hypertension,Tarek Shalaby,0128024458,2024-10-14 21:12:36,0
85,26406291832187,Fatma El-Zahraa,Mohsen,1964-06-29,Female,0159283397,"3024 El Geish St., Abu Hammad, New Valley",B-,,Arthritis,Basmala El-Iskandarany,0116970548,2025-06-05 10:20:08,1
86,24802076497970,Amr,Mahmoud,1948-02-07,Male,0153725555,"590 El Salam Lane, Sadat City, Beni Suef",A-,,Viral hepatitis,Abeer El-Hashemy,0111925438,2025-05-25 10:21:14,0
87,26809288387593,Sherif,Abo El-Naga,1968-09-28,Male,0113748893,"7956 El Shohada Rd., Toukh, Qalyubia",A-,,Chronic kidney disease,Samar Sarhan,0105770991,2025-10-24 01:26:03,0
88,27110025399485,Zeinab,Mohsen,1971-10-02,Female,0128284714,"1127 El Wahda Lane, Ismailia City, Beni Suef",B+,,,Hussein Gad,0105251351,2024-10-31 21:20:33,1
89,25306290771916,Adham,Mokhtar,1953-06-29,Male,0116072830,"82200 El Mahatta Rd., Ras Gharib, Qena",AB+,,Asthma,Habiba El-Araby,0128213508,2025-06-15 03:30:25,0
90,30110300630844,Raghad,Shawky,2001-10-30,Female,0153765250,"63814 Ramses St., Maadi, Cairo",AB-,,Diabetes mellitus,Sondos El-Iskandarany,0119181089,2024-02-04 01:04:54,0
91,26910271729045,Laila,El-Saeedi,1969-10-27,Female,0152786700,"12063 El Horreya Ave., Khanka, Qalyubia",B-,Seafood allergy,Epilepsy,Hoda Abdullah,0103814906,2024-11-25 00:34:53,0
92,29901046405344,Hoda,Fahmy,1999-01-04,Female,0108774126,"3196 El Geish Sq., Senbellawein, Dakahlia",AB-,Dust allergy,Asthma,Alaa Mansour,0105836552,2024-08-28 03:13:34,0
93,25212053319595,Adham,Ali,1952-12-05,Male,0110617848,"5791 Ramses Ave., Abu Hammad, Faiyum",B-,Dust allergy,,Talia Fahmy,0128502666,2025-06-17 18:44:45,1
94,27608156387409,Talia,Afifi,1976-08-15,Female,0108445873,"756 El Geish Ave., Itay El Barud, Beheira",AB+,Latex allergy,Diabetes mellitus,Rasha El-Ansari,0101453313,2025-05-29 17:56:53,0
95,28307118764341,Abeer,El-Qurashi,1983-07-11,Female,0115960727,"0070 El Mostaqbal St., Shebin El Kom, Monufia",O+,,,Rana Osman,0114168252,2025-10-21 16:03:25,0
96,26501012304718,Mina,El-Araby,1965-01-01,Male,0112129155,"399 Misr Sq., El Gouna, Matrouh",A+,Antibiotic allergy,,Medhat El-Omda,0156743814,2025-09-14 14:02:29,1
97,26308181843938,Islam,El-Aswany,1963-08-18,Male,0102649011,"97032 Salah Salem St., Nuweiba, South Sinai",A-,,Viral hepatitis,Ayman El-Qurashi,0156915614,2024-01-08 04:34:19,1
98,24610023006720,Sarah,El-Aswany,1946-10-02,Female,0158325845,"9569 El Salam Ave., Quweisna, Matrouh",A-,Peanut allergy,Epilepsy,Saeed Bakr,0157481064,2024-01-04 20:58:01,1
99,25908185449721,Doaa,El-Sherif,1959-08-18,Female,0154625562,"29543 El Salam Lane, Ashmoun, Monufia",AB-,Dust allergy,Hypertension,Radwa Helmy,0106784888,2025-11-07 09:10:51,1
100,27004063555055,Fathy,Abo El-Naga,1970-04-06,Male,0154583050,"70201 El Gomhouria Ave., Saint Catherine, South Sinai",AB-,,Hypertension,Hoda El-Sherbiny,0152337213,2025-01-16 09:03:37,1
101,30605084893687,Lobna,Zayed,2006-05-08,Female,0118009822,"169 El Orouba Lane, Aswan City, Sohag",A-,Peanut allergy,Asthma,Tarek Ghoneim,0103937201,2024-11-30 11:05:59,0
102,28905045574107,Habiba,Zaker,1989-05-04,Female,0115319665,"9000 El Haram St., Shubra El Kheima, Beni Suef",O-,,Chronic kidney disease,Saeed Abo El-Naga,0118498740,2025-10-17 08:56:29,1
103,27806068294931,Adham,Kamel,1978-06-06,Male,0119856055,"74852 Airport Sq., Zamalek, Sohag",B-,,Epilepsy,Raghad Afifi,0120602707,2025-06-28 01:39:44,0
104,29003313414374,Sameh,El-Sakka,1990-03-31,Male,0107826695,"978 Misr Ave., Port Fuad, Port Said",O-,,,Khaled Saber,0105559485,2025-01-23 14:55:51,1
105,26708300701183,Noha,Hussein,1967-08-30,Female,0118463929,"025 El Tahrir Sq., Samannoud, Gharbia",AB-,,Asthma,Rahma Bakr,0121974145,2025-07-20 00:20:43,0
106,28501083805034,Marwan,Gad,1985-01-08,Male,0151492845,"74185 El Orouba Lane, Boulaq El Dakrour, Damietta",B+,Aspirin allergy,Hypertension,Lobna Abdelaziz,0152600961,2025-01-10 06:31:48,1
107,28805167255685,Talin,Zaker,1988-05-16,Female,0124229347,"50079 Misr St., Ashmoun, Monufia",AB-,,,Nour El-Din El-Omda,0155719793,2025-04-10 23:30:37,0
108,26801130984533,Adel,El-Qahery,1968-01-13,Male,0113514966,"342 El Horreya St., Safaga, Red Sea",B-,Antibiotic allergy,Viral hepatitis,Mohamed Mansour,0111584494,2024-05-20 17:39:35,0
109,26708037622793,Saeed,Salem,1967-08-03,Male,0151271420,"617 El Gomhouria Lane, Qalyub, Damietta",AB-,Seafood allergy,,Mazen Hassanin,0151376113,2025-09-17 05:34:12,1
110,28408120506008,Shaimaa,Fahmy,1984-08-12,Female,0124561836,"7973 El Wahda Sq., El Marg, Sohag",A+,Latex allergy,,Donia Saber,0106567167,2024-07-10 11:40:52,1
111,26011243456442,Iman,Wahba,1960-11-24,Female,0102787874,"78984 El Horreya Lane, Ismailia City, Ismailia",A+,Latex allergy,,Judy El-Shennawy,0117915619,2024-06-16 22:59:31,1
112,24806238537487,Farida,Metwally,1948-06-23,Female,0120014338,"29803 Airport Ave., Shubra El Kheima, North Sinai",AB+,Antibiotic allergy,Asthma,Laila Kamel,0157175115,2024-11-03 13:41:05,0
113,30710010475335,Adam,Fahmy,2007-10-01,Male,0102113052,"041 El Wahda Sq., Arish, Matrouh",A-,Peanut allergy,Asthma,Wael Fahmy,0113514711,2024-05-12 07:47:23,1
114,29107023406585,Fatma,Nassar,1991-07-02,Female,0119567963,"41393 El Haram Ave., Ismailia City, Ismailia",O+,,Diabetes mellitus,Mona Shehata,0114120666,2025-08-31 08:42:54,0
115,30510254679900,Nour,El-Alawy,2005-10-25,Female,0152645695,"372 El Wahda St., Faisal District, Qena",O-,,Heart disease,Saga Abdullah,0127465506,2025-09-27 17:38:12,0
116,27104165641924,Hagar,El-Sherbiny,1971-04-16,Female,0119446823,"60283 El Galaa Sq., Al Arab District, Port Said",AB+,,,Soha Ali,0102759375,2024-06-18 13:27:43,0
117,27910043914709,Rana,El-Hashemy,1979-10-04,Female,0154375791,"9193 El Mahatta Rd., Sidi Gaber, Alexandria",O-,Pollen allergy,Diabetes mellitus,Tarek El-Sakka,0128930923,2024-05-23 19:21:30,1
118,29411202639067,Aya,Shawky,1994-11-20,Female,0156170988,"5248 Airport Lane, Abu Kabir, Sharqia",O-,Penicillin allergy,,Nour Hussein,0110553506,2024-06-13 09:21:51,0
119,28811216053164,Rawan,El-Shennawy,1988-11-21,Female,0104537094,"224 Salah Salem Ave., Arbaeen District, Beni Suef",AB+,Latex allergy,,Ehab Saber,0101167885,2024-04-03 13:14:38,1
120,28911188770714,Mostafa,El-Qahery,1989-11-18,Male,0113937909,"039 El Mahatta Rd., Talkha, Dakahlia",A+,,,Hamza Bakr,0106750271,2025-04-21 03:39:05,1
121,26604161694747,Alaa,El-Ansari,1966-04-16,Female,0112885636,"234 Misr St., Montaza, Alexandria",AB-,,Hypertension,Ramy El-Sakka,0101058107,2025-09-29 05:11:04,0
122,26303106485501,Aya,Hussein,1963-03-10,Female,0119019126,"264 El Orouba Lane, Suez District, Aswan",O-,,Thyroid disorders,Marwan El-Alawy,0129285058,2024-07-04 23:17:05,0
123,29911213707630,Selim,Abdelfattah,1999-11-21,Male,0150250634,"16539 El Geish Lane, Kom Hamada, Beheira",AB+,Dust allergy,Thyroid disorders,Farida Abdelhamid,0152398968,2025-08-28 20:32:31,0
124,24803235078045,Talia,Abdelsalam,1948-03-23,Female,0109506170,"68314 26th of July Sq., Rashid, Beheira",AB+,Pollen allergy,,Karim El-Ansari,0157429454,2025-04-24 04:56:53,0
125,25612232248959,George,Abdullah,1956-12-23,Male,0119430713,"1048 El Tahrir Lane, Boulaq El Dakrour, Faiyum",AB+,Seafood allergy,,Alaa El-Ghazaly,0125632802,2025-08-14 14:27:00,1
126,26101081667893,Ramy,Fahmy,1961-01-08,Male,0117208233,"95339 El Horreya Rd., Mounib, Giza",B-,,Thyroid disorders,Hamza El-Ghazaly,0151840037,2025-05-22 04:44:17,0
127,29503284292224,Janna,Helmy,1995-03-28,Female,0101940242,"76738 Airport Rd., Ras Gharib, Red Sea",AB-,,,Safaa Helmy,0121075961,2025-08-08 21:22:58,1
128,30004097487259,Haitham,El-Saeedi,2000-04-09,Male,0110488062,"39218 El Mahatta St., Faisal District, Suez",O+,Latex allergy,,Mona Shehata,0112694511,2025-02-13 18:07:10,0
129,26811070259203,Hagar,Zayed,1968-11-07,Female,0157134522,"194 El Nile Rd., Fifth Settlement, Beni Suef",O-,Penicillin allergy,,Heba Shawky,0127368017,2024-03-07 15:27:00,1
130,29412278877733,Saleh,El-Omda,1994-12-27,Male,0122867170,"0316 El Mahatta St., Kafr El Dawar, Luxor",AB-,Antibiotic allergy,Diabetes mellitus,Mohanad Nassar,0120841382,2024-03-22 06:52:53,0
131,29408128317972,Selim,El-Alawy,1994-08-12,Male,0159729896,"23536 El Horreya Ave., Khanka, Qalyubia",AB-,,Asthma,Aline El-Masry,0118499202,2024-02-09 12:16:42,1
132,25911092988352,Eyad,Gad,1959-11-09,Male,0103211072,"163 Airport Rd., Taba, South Sinai",B+,Seafood allergy,,Janna Ghoneim,0109738600,2023-12-20 10:32:24,1
133,25102158550113,Salem,El-Ansari,1951-02-15,Male,0155572226,"85382 Ramses Rd., Shubra, New Valley",A-,Peanut allergy,Arthritis,Jouri Ghamrawy,0117655901,2025-01-02 13:09:43,1
134,28002278516584,Judy,Kamel,1980-02-27,Female,0118883644,"65034 El Nasr St., Sohag City, Matrouh",B-,Latex allergy,Diabetes mellitus,Yassin Ghoneim,0124458700,2023-12-26 05:31:31,1
135,28409307204623,Hana,Osman,1984-09-30,Female,0150168519,"81255 El Horreya St., Marsa Alam, New Valley",B+,Seafood allergy,Heart disease,Malek Saad,0110437394,2024-11-01 19:17:17,0
