doctor_id,national_id,first_name,last_name,specialization,license_number,phone,years_of_experience,consultation_fee,is_active,registration_date
64,30001245958818,Wael,Nassar,Emergency Medicine,MOH-EME-834800,0110189464,1,517.31,1,2024-04-05 06:30:42
65,28904254911235,Hamza,Ramadan,Internal Medicine,MOH-INT-206529,0125265398,9,159.52,0,2021-12-20 18:18:15
66,29204074325778,Omar,Farag,Orthopedics,MOH-ORT-912679,0151635449,1,420.44,1,2023-12-14 00:51:27
67,26801085155791,Ehab,Abdullah,Emergency Medicine,MOH-EME-515828,0111727430,19,411.39,1,2025-02-12 16:27:18
68,28811194610717,Haitham,Morsi,Endocrinology,MOH-END-568462,0123724050,4,425.73,0,2021-04-04 07:20:58
69,28701197527137,Karim,El-Masry,Psychiatry,MOH-PSY-465073,0108433563,1,113.33,1,2025-09-10 16:35:23
70,27308073778800,Sarah,Kamel,Obstetrics and Gynecology,MOH-OBS-111302,0150937052,23,660.52,1,2021-08-09 10:26:28
71,27203223771185,Nour,Saad,Urology,MOH-URO-610910,0158486812,4,388.7,0,2022-05-03 15:04:31
72,28803304266427,Ghada,El-Araby,Ophthalmology,MOH-OPH-527193,0154135525,5,384.8,1,2021-06-01 19:12:32
73,26709067788338,Hamza,El-Araby,Family Medicine,MOH-FAM-807395,0111246246,0,138.51,1,2021-11-29 02:00:58
74,26107194203854,Sherif,Saber,Obstetrics and Gynecology,MOH-OBS-223981,0123200356,30,321.98,0,2023-06-08 18:49:15
75,26409045389771,Adel,El-Sherbiny,Neurology,MOH-NEU-485238,0154716559,9,371.61,0,2022-08-04 04:39:38
76,29007047484302,Dina,Bakr,Dermatology,MOH-DER-183803,0151966846,8,653.77,1,2022-09-03 13:24:50
77,29906083628552,Amr,Ramadan,Urology,MOH-URO-481986,0106127306,2,277.81,1,2021-02-10 09:19:10
78,28904040623675,Tarek,El-Araby,Cardiology,MOH-CAR-627004,0129490029,10,404.9,1,2024-08-15 19:21:12
79,26901215723394,Mahmoud,El-Shennawy,Orthopedics,MOH-ORT-494604,0115485560,17,279.04,1,2022-08-01 18:16:44
80,25706068106884,Ghada,Abdelaziz,Internal Medicine,MOH-INT-798299,0154487937,8,460.53,1,2021-08-04 06:04:30
81,25801144569278,Hamza,Mokhtar,Urology,MOH-URO-450648,0153357179,30,346.66,1,2020-12-11 02:45:25
82,26909120364790,Amr,El-Omda,Urology,MOH-URO-148795,0120033490,32,668.24,1,2024-10-21 17:34:57
83,27204046620192,Saeed,El-Sherif,Obesity Management,MOH-OBE-588964,0101255077,25,568.9,0,2023-12-10 05:28:10
84,29203153246586,Rasha,Sarhan,ENT (Otolaryngology),MOH-ENT-441629,0124599980,2,252.54,1,2025-09-05 08:02:19
85,27510160987515,Youssef,Fahmy,Immunology,MOH-IMM-140582,0154547287,3,219.64,0,2024-11-06 13:16:48
86,28506195941481,Ghada,El-Shennawy,Pulmonology,MOH-PUL-312277,0108528108,13,329.78,1,2022-03-14 14:16:27
87,28801148543289,Malak,Morsi,Emergency Medicine,MOH-EME-488821,0152089398,0,369.71,1,2024-02-07 12:44:21
88,25806077033026,Iman,El-Saeedi,Psychiatry,MOH-PSY-345574,0152728008,17,126.68,0,2024-02-26 12:50:09
89,29711247002727,Habiba,Shalaby,Emergency Medicine,MOH-EME-380168,0110472558,3,606.51,1,2024-09-29 14:47:02
90,28110195755066,Dina,Saber,Clinical Nutrition,MOH-CLI-287235,0125976812,17,410.19,0,2023-11-03 12:33:00
91,26310182913877,Marwan,Amin,Cardiology,MOH-CAR-677687,0152318361,8,242.53,0,2022-11-29 14:10:48
92,29705241490768,Samar,El-Iskandarany,Pulmonology,MOH-PUL-535057,0116950467,4,120.26,0,2025-10-18 01:19:12
93,26305297964008,Rehab,Gad,Oncology,MOH-ONC-563794,0128286907,6,775.02,1,2021-01-15 00:45:42
94,29511262176062,Safaa,Salama,Dermatology,MOH-DER-984396,0158761250,2,791.34,0,2021-10-08 03:25:19
95,27411087659940,Hagar,Mokhtar,Emergency Medicine,MOH-EME-138758,0109153325,4,272.11,1,2023-09-29 10:32:03
96,27301231637990,Sherif,Wahba,Orthopedics,MOH-ORT-607916,0107829617,6,231.69,0,2023-11-14 22:12:09
97,28712252837122,Heba,El-Qahery,Obstetrics and Gynecology,MOH-OBS-704147,0121536891,9,596.77,0,2024-04-11 14:00:23
98,29703291942286,Rehab,Osman,Oncology,MOH-ONC-877936,0153947343,0,514.92,0,2024-07-05 05:48:14
99,29109232980597,Karim,Kamel,Obesity Management,MOH-OBE-325458,0105107775,8,170.05,1,2023-05-29 14:31:49
100,28708138806930,Youssef,Hegazy,Psychiatry,MOH-PSY-593460,0121233094,2,101.18,1,2022-04-16 16:03:44
101,28704083806248,Mona,Ghoneim,Endocrinology,MOH-END-895780,0106590104,8,151.62,0,2024-12-18 06:11:28
102,25809263686201,Maryam,Hegazy,Internal Medicine,MOH-INT-323787,0123410108,17,611.67,1,2024-04-29 18:45:57
103,28907292322581,Shaimaa,Abo El-Naga,Cardiology,MOH-CAR-351902,0118685448,2,642.66,1,2023-09-23 01:46:24
104,28011074783112,Tarek,Kamel,Dermatology,MOH-DER-650626,0117626807,6,496.59,1,2023-10-15 07:38:06
105,26501075239988,Mona,El-Araby,Clinical Nutrition,MOH-CLI-637467,0125376665,32,562.24,1,2024-05-13 13:55:46
106,29901244264833,Amr,Saad,General Surgery,MOH-GEN-993077,0127082928,2,329.54,0,2022-09-04 19:08:41
107,25608030628838,Gamal,El-Shennawy,Urology,MOH-URO-555558,0110863355,24,498.15,1,2021-03-23 08:51:14
108,27511125993123,Fatma,Ramadan,Clinical Nutrition,MOH-CLI-263381,0114114750,21,788.14,1,2025-08-22 21:45:39
109,25809305348300,Heba,El-Khouly,Cardiology,MOH-CAR-539631,0107661557,43,713.14,1,2022-02-11 23:17:02
110,28205102347845,Mona,Abdelfattah,Pediatrics,MOH-PED-247593,0110426902,1,115.86,1,2022-08-06 18:12:53
111,26105227119065,Reem,Bakr,Endocrinology,MOH-END-150253,0106839680,30,486.68,0,2022-08-24 08:54:08
112,28902056944749,Reem,Abdelaziz,Urology,MOH-URO-735739,0154452551,3,562.16,1,2023-01-24 16:24:51
113,29501217316881,Sarah,Abdelfattah,General Surgery,MOH-GEN-207303,0106032037,0,303.23,1,2024-01-16 09:21:25
114,25806204227992,Ali,Abo El-Naga,Immunology,MOH-IMM-276287,0158565190,5,635.88,1,2024-10-06 14:02:21
115,28511143871231,Ashraf,El-Omda,Emergency Medicine,MOH-EME-966782,0123842634,7,530.62,1,2023-01-30 03:10:03
116,28107314058319,Abdelaziz,Shawky,Oncology,MOH-ONC-272642,0124452184,10,612.95,1,2021-01-07 11:13:24
117,28702018259984,Ghada,Abo El-Naga,Emergency Medicine,MOH-EME-303662,0102845085,0,562.26,0,2024-11-04 17:27:15
118,29103136622558,Tarek,Shalaby,Immunology,MOH-IMM-714678,0155567574,4,488.87,0,2022-06-11 11:48:42
119,26910306858312,Fares,Afifi,Urology,MOH-URO-918807,0150805084,16,425.42,0,2025-03-25 12:17:35
120,28103305802982,Hagar,Ramadan,Clinical Nutrition,MOH-CLI-678752,0104061839,7,411.28,1,2022-06-12 05:08:07
121,29209085640619,Bilal,El-Qahery,Dermatology,MOH-DER-252862,0127010539,3,210.09,0,2022-12-28 04:03:55
122,28611237930851,Marwan,Bakr,Neurology,MOH-NEU-948366,0108625523,5,481.74,0,2023-03-23 23:47:16
123,29806255149955,Abdelrahman,Morsi,Cardiology,MOH-CAR-797784,0106228105,3,131.51,1,2025-11-26 09:00:35
124,25808014902632,Marwan,Shehata,Internal Medicine,MOH-INT-430502,0157123795,19,571.79,0,2024-10-20 11:31:20
125,28612213929656,Karim,Salem,Urology,MOH-URO-255618,0106818306,2,450.94,1,2023-09-12 08:47:55
126,27504300783496,Ibrahim,Mansour,Emergency Medicine,MOH-EME-595726,0117686995,4,275.26,1,2024-11-19 17:42:31
127,25802257583105,Salma,Mahmoud,Family Medicine,MOH-FAM-968663,0156542085,14,298.74,0,2022-12-06 18:24:34
128,28106286569315,Sameh,Gad,Pulmonology,MOH-PUL-548977,0106364037,5,169.25,0,2024-09-18 16:15:50
129,29301134556692,Omar,Ali,Family Medicine,MOH-FAM-823293,0150274370,3,573.79,0,2024-05-26 19:45:00
130,28909081172494,Abdelaziz,Abo El-Naga,Obstetrics and Gynecology,MOH-OBS-385559,0152578767,12,782.76,0,2022-06-04 06:28:28
131,30004205651525,Habiba,Helmy,Obesity Management,MOH-OBE-559577,0155877892,1,775.68,1,2022-08-28 15:39:14
132,28711030564844,Heba,Farag,Clinical Nutrition,MOH-CLI-344901,0124327708,11,183.38,1,2024-06-16 17:20:34
133,26410117404213,Ashraf,El-Masry,Obstetrics and Gynecology,MOH-OBS-968091,0153808865,23,344.32,0,2021-07-18 04:04:54
134,26304110194712,Ali,Salama,Cardiology,MOH-CAR-920340,0116886380,9,414.48,1,2021-01-17 12:15:57
135,28604066861456,Bilal,El-Shennawy,Neurology,MOH-NEU-568409,0153691847,15,135.56,0,2025-06-03 04:41:32
136,27711111823856,Marwan,Osman,Psychiatry,MOH-PSY-655590,0151987722,0,613.04,0,2025-02-02 22:14:21
137,26703111130612,Ehab,Sarhan,Pediatrics,MOH-PED-258571,0113740679,12,159.74,0,2025-11-19 00:19:06
138,27810077527762,Samar,Metwally,Orthopedics,MOH-ORT-327819,0110091234,8,173.47,1,2023-06-14 19:28:45
139,26501026049691,Adel,El-Khouly,Neurology,MOH-NEU-825691,0113615802,3,727.19,1,2025-01-09 10:29:02
140,29907301928702,Yara,El-Aswany,Emergency Medicine,MOH-EME-630789,0111338361,0,516.9,0,2021-02-18 07:43:15
141,27007084121215,Karim,El-Shennawy,Family Medicine,MOH-FAM-746524,0155221959,21,362.26,0,2022-02-20 23:36:42
142,27410066078781,Malak,Gad,Cardiology,MOH-CAR-148092,0159322696,10,453.68,0,2023-04-16 10:44:12
143,28402010921534,Sameh,El-Araby,Internal Medicine,MOH-INT-914968,0100980333,2,591.32,0,2022-10-09 04:43:48
144,29502202434606,Hagar,El-Saeedi,Ophthalmology,MOH-OPH-398580,0107831819,2,173.12,1,2023-08-29 21:31:10
145,26805164121618,Omar,El-Aswany,Internal Medicine,MOH-INT-241628,0102120675,25,145.01,1,2022-04-18 20:06:55
146,25601241118688,Naglaa,Gad,Immunology,MOH-IMM-843952,0128548140,37,722.99,1,2023-07-04 18:59:26
147,29207136368339,Wael,El-Shennawy,Obesity Management,MOH-OBE-654534,0127181296,1,562.14,0,2021-01-20 11:48:09
148,27410065260849,Farida,Bakr,Clinical Nutrition,MOH-CLI-185819,0100103995,6,393.51,1,2023-03-06 17:51:30
149,28309193121272,Ashraf,Hussein,Family Medicine,MOH-FAM-614156,0118584472,14,760.65,1,2022-10-11 10:08:37
150,29605162461026,Maryam,El-Qurashi,Neurology,MOH-NEU-731706,0111033241,3,251.84,1,2025-11-04 21:45:02
151,26903085602785,Noha,El-Omda,Dentistry,MOH-DEN-637545,0123512383,2,564.49,1,2022-08-19 12:51:10
152,29407035385418,Fares,Nassar,Cardiology,MOH-CAR-626977,0117989861,2,320.64,0,2022-01-01 14:12:52
153,28305085893153,Khaled,Abdelfattah,Obesity Management,MOH-OBE-644011,0106887858,1,660.54,1,2023-04-26 19:08:09
154,29210185562650,Mahmoud,El-Omda,Cardiology,MOH-CAR-437164,0155334523,8,656.77,1,2023-05-26 06:04:56
155,27512242064980,Shaimaa,El-Sherbiny,Cardiology,MOH-CAR-646669,0119589016,3,315.49,1,2024-11-19 02:00:49
156,25809074245548,Shaimaa,Salama,Obesity Management,MOH-OBE-827858,0154385626,1,489.0,1,2025-09-28 15:44:28
157,29906128275094,Samy,El-Qahery,Emergency Medicine,MOH-EME-302642,0115507723,1,603.94,1,2024-08-17 10:29:55
158,26607210150778,Abdullah,Osman,General Surgery,MOH-GEN-640599,0118325715,30,435.96,0,2024-05-27 04:48:04
159,28802050747469,Salma,El-Omda,ENT (Otolaryngology),MOH-ENT-675469,0110006126,9,690.25,0,2024-02-11 09:29:52
160,26405130435379,Mostafa,Ghoneim,Obstetrics and Gynecology,MOH-OBS-287009,0103274512,27,611.22,1,2022-10-24 12:59:13
161,25910161359846,Heba,Mokhtar,Obesity Management,MOH-OBE-544064,0100956168,35,223.18,1,2022-06-26 03:28:27
162,28804291417810,Hassan,Sobhy,Immunology,MOH-IMM-975805,0115700780,7,108.52,0,2024-08-30 11:57:17
163,30002151453933,Ahmed,Salem,Psychiatry,MOH-PSY-875309,0111286495,1,415.69,1,2025-09-21 01:50:48
164,28609083079183,Naglaa,Saber,Pulmonology,MOH-PUL-238646,0113284503,8,641.49,1,2025-09-21 11:35:43
165,26702238813392,Mostafa,Shawky,Psychiatry,MOH-PSY-866724,0118141900,20,274.12,1,2023-05-17 11:56:30
166,27508153559049,Hagar,Amin,Ophthalmology,MOH-OPH-324914,0128968317,5,206.44,0,2023-08-31 00:31:01
167,27407128143390,Mahmoud,Nassar,Pediatrics,MOH-PED-753063,0128292861,6,525.38,0,2023-12-22 21:00:36
168,27603053815661,Salma,Shehata,Dentistry,MOH-DEN-113463,0101542149,5,547.04,0,2022-11-12 15:06:29
169,29710247075702,Reem,Mokhtar,Ophthalmology,MOH-OPH-674054,0122408849,0,281.15,1,2021-10-14 12:25:28
170,29506160261850,Abdelaziz,Mokhtar,Orthopedics,MOH-ORT-117991,0124245489,2,248.22,0,2024-11-27 23:04:22
171,29501023564687,Aya,Gad,Orthopedics,MOH-ORT-317564,0125799430,6,476.94,1,2021-02-17 05:53:20
172,30011200356058,Hussein,Gad,Internal Medicine,MOH-INT-819146,0150038348,1,486.46,1,2025-10-04 12:43:59
173,29511044769867,Yasmine,Kamel,Internal Medicine,MOH-INT-529617,0116485334,0,451.87,1,2024-09-07 17:44:33
174,29201167006377,Marwan,Amin,Emergency Medicine,MOH-EME-592368,0119025647,8,154.94,0,2022-02-06 10:18:05
175,27204030559129,Ghada,Abdelfattah,Clinical Nutrition,MOH-CLI-846820,0124777082,0,554.63,0,2024-08-20 23:01:08
176,29307056548084,Habiba,Hussein,Cardiology,MOH-CAR-960674,0151374799,4,163.44,1,2021-07-02 01:08:04
177,29412077713737,Tarek,Abdelaziz,Ophthalmology,MOH-OPH-532068,0107066093,6,242.2,1,2022-02-22 10:12:02
178,29101115201979,Karim,El-Qurashi,Pulmonology,MOH-PUL-592588,0155328813,5,523.99,1,2024-10-31 10:50:10
179,28310071651972,Hassan,Farag,Family Medicine,MOH-FAM-944567,0159441502,1,635.87,0,2025-07-17 19:19:09
180,29511267775508,Lobna,El-Saeedi,Clinical Nutrition,MOH-CLI-601631,0102288675,5,373.53,0,2023-10-04 10:41:24
181,25803236126614,Gamal,Hussein,Pulmonology,MOH-PUL-682419,0121709840,25,176.07,1,2024-10-12 18:13:53
182,29505236131892,Mahmoud,Farag,Clinical Nutrition,MOH-CLI-889376,0126032057,5,790.4,1,2023-07-23 07:18:59
183,26107163680566,Naglaa,Shawky,Oncology,MOH-ONC-206064,0153394456,14,752.74,0,2024-01-11 01:34:52
184,26601181172447,Hagar,Mokhtar,Obesity Management,MOH-OBE-910433,0100289711,25,269.93,0,2025-07-02 21:37:24
185,25904306707830,Sameh,El-Qurashi,Endocrinology,MOH-END-680951,0129673247,24,574.83,1,2025-07-30 03:30:02
186,27903142073325,Reem,Abdelaziz,Neurology,MOH-NEU-994282,0109649159,1,156.94,0,2024-09-16 10:41:28
187,27101298630061,Rasha,Abdullah,Clinical Nutrition,MOH-CLI-536313,0114709814,8,213.36,0,2024-03-03 07:22:05
188,29006155717840,Iman,Sobhy,Family Medicine,MOH-FAM-381294,0120586812,3,143.99,1,2021-09-29 21:02:12
189,26503084570177,Abdelaziz,El-Qurashi,Internal Medicine,MOH-INT-108359,0111192458,23,146.8,0,2025-02-27 07:11:24
190,26703303600753,Ramy,Morsi,Obesity Management,MOH-OBE-865822,0129899693,22,192.51,1,2022-08-31 00:42:24
191,29002170928441,Naglaa,Ramadan,Immunology,MOH-IMM-849332,0123871841,7,477.13,1,2023-03-22 14:25:58
192,28903250456607,Salma,Abdelaziz,Pediatrics,MOH-PED-124977,0122479682,1,109.66,0,2023-07-28 06:08:04
193,29202104331339,Abdelrahman,El-Qurashi,Dentistry,MOH-DEN-114119,0107976047,1,141.56,0,2021-08-06 02:29:14
194,27710206823177,Bilal,El-Alawy,Pulmonology,MOH-PUL-702664,0150547351,7,757.83,0,2024-03-22 02:26:47
195,26507264621749,Sarah,Shehata,Ophthalmology,MOH-OPH-214303,0125090031,4,652.39,1,2024-10-05 17:57:12
196,28012160661443,Ghada,El-Aswany,Emergency Medicine,MOH-EME-324353,0105229101,19,707.97,0,2022-06-24 10:30:36
197,25903140651427,Heba,Metwally,Internal Medicine,MOH-INT-262137,0152273437,17,651.43,0,2024-11-04 07:24:28
198,29112015084872,Sameh,El-Khouly,Obstetrics and Gynecology,MOH-OBS-373089,0119565767,0,396.46,0,2021-05-03 07:33:23
199,27212030641840,Shaimaa,Abdelaziz,Cardiology,MOH-CAR-315225,0103722346,4,735.39,1,2024-04-18 02:46:46
200,29201030689373,Abdelaziz,Kamel,Endocrinology,MOH-END-852390,0127013259,3,418.22,0,2021-07-31 01:39:06
201,27605044146401,Heba,Mahmoud,Obstetrics and Gynecology,MOH-OBS-839691,0151212331,19,113.98,1,2022-02-26 16:31:05
202,27509073901457,Hamza,El-Iskandarany,Orthopedics,MOH-ORT-285940,0105946223,6,142.53,1,2022-05-15 18:15:24
203,27409231129398,Sherif,Hussein,Obesity Management,MOH-OBE-936080,0111680757,27,618.35,1,2025-01-09 12:15:28
204,29404168298162,Rahma,Abdelhamid,Pediatrics,MOH-PED-529458,0111530274,3,569.41,0,2024-07-06 08:41:09
205,26001154583077,Hamza,Ghoneim,Internal Medicine,MOH-INT-882725,0102402821,1,572.46,0,2024-04-24 07:25:17
206,26707060504680,Hala,Abdelfattah,Dentistry,MOH-DEN-208073,0121375315,8,350.8,1,2024-12-25 17:43:32
207,27808163576525,Hanan,Nassar,Emergency Medicine,MOH-EME-105164,0125425667,15,761.33,0,2025-08-13 06:34:17
208,26312231461275,Mahmoud,Gad,General Surgery,MOH-GEN-805560,0110075873,16,313.41,1,2021-02-26 14:31:33
209,29802205523674,Hassan,El-Omda,Orthopedics,MOH-ORT-322038,0159421324,0,272.0,1,2020-12-22 07:23:18
210,30009208449051,Adel,El-Alawy,Urology,MOH-URO-808448,0111137702,1,190.36,0,2023-10-13 05:15:01
211,25704242971958,Yasser,El-Sherif,Emergency Medicine,MOH-EME-356255,0126641512,27,631.23,0,2024-12-23 23:54:53
212,25805294221922,Maryam,Afifi,ENT (Otolaryngology),MOH-ENT-329830,0112053180,26,147.3,0,2022-01-20 03:19:33
213,26202267747197,Sameh,Saad,Cardiology,MOH-CAR-470967,0126147446,1,484.95,0,2021-08-12 13:57:11
214,26804292225258,Marwan,Mokhtar,Urology,MOH-URO-258567,0158898499,12,474.12,0,2023-02-28 14:50:32
215,29604276873210,Hamza,El-Shennawy,ENT (Otolaryngology),MOH-ENT-340001,0103477298,3,689.12,0,2025-05-27 13:32:42
216,28103097465409,Yasmine,El-Alawy,Obesity Management,MOH-OBE-783548,0121067669,19,323.26,1,2023-08-22 23:11:27
217,29612021492770,Marwan,El-Qahery,Neurology,MOH-NEU-214570,0157113649,5,206.25,1,2025-11-12 15:51:05
218,26103065261462,Rasha,Sarhan,Ophthalmology,MOH-OPH-806704,0125333629,30,707.83,1,2025-01-27 22:11:57
219,29909107733327,Nour,El-Qahery,Urology,MOH-URO-450298,0153797701,0,186.26,1,2022-06-07 23:23:31
220,29607192636989,Rehab,Ramadan,Urology,MOH-URO-548932,0112659273,3,172.84,0,2025-09-25 22:04:51
